kutti,standard
তোমার আব্বায় হইলো গিয়া একখান খাড়ুস,তোমার আব্বা হলো একটা খিটখিটে মানুষ
আমার বাত তো হ্যায় হুনেই না,আমার কথা তো সে শোনেই না
জবান সামলাইয়া কতা কও,মুখ সামলে কথা বলো
তুমি কারে কী কইবার লাগছো,তুমি কাকে কী বলছ?
হেতে আমার আব্বাজান লাগে,উনি আমার আব্বাজান হন
মানে তুমার সসুর আব্বা লাগে ,মানে তোমার শ্বশুর আব্বা হন
হুনো আইজকা বিয়ান বেলায়,শোনো আজ সকাল বেলায়
অ্যাকবার হ্যারতে যাওন লাগবো,একবার উনার কাছে যেতে হবে
হেতের জন্মদিনের লাইগা,উনার জন্মদিনের জন্য
কেক লইয়া যাওন লাগবো না,কেক নিয়ে যেতে হবে না?
চাইর পাউন্ডের কেক লইবা,চার পাউন্ডের কেক নেবে
আর দুইখান মোমবাত্তি লইবা,আর দুটো মোমবাতি নেবে
হেতের বয়স সত্তুর হইয়া গ্যাছে,উনার বয়স সত্তর হয়ে গেছে
অহন সাতের একখান লইবা,এখন সাতের একটা নেবে
আর সুন্যর একখান লইবা,আর শূন্যর একটা নেবে
দুইখান মোমবাত্তি জ্বালাইবা,দুটো মোমবাতি জ্বালাবে
